rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,train,outcome,gender
4,1,B,35.51504197,-0.021724541,3.474765783,6.797621362,False,False,1.467570101,14.1758,1.1448,13.6704,0.233,32.31359152,1.350532511,2.449182398,0.7054351759999999,12.5628,2.0724,True,F,0.445317963,False,5718,1,UE,mens
4,2,B,33.38264003,1.114202377,2.540801064,2.6087082390000003,False,True,2.3119313569999997,12.7396,4.6258,12.6358,2.3162,34.06078799,0.760498827,0.583291279,3.856600252,12.3544,5.1124,False,B,0.43243397299999997,False,371,1,FE,mens
9,1,F,36.83730892,0.76669374,0.5868845220000001,3.3421800260000003,True,False,0.5837452870000001,13.7308,0.0312,13.1492,0.0188,25.01881759,1.23903276,3.256694687,0.557553657,14.2596,0.1606,True,B,0.671984248,True,9312,1,UE,mens
4,1,B,35.54420828,0.116161877,0.9187249209999999,5.499118581,False,False,2.333455892,15.1992,1.7596,14.130999999999998,0.315,36.79097938,0.16573116300000001,1.431145985,3.945317217,11.3658,1.1082,False,F,0.340411071,False,7667,1,W,mens
10,1,B,39.01218641,0.34988868,0.48509783,3.264708218,True,False,0.804337491,13.1496,0.6864,13.8902,1.0002,29.99418713,0.48688291100000003,2.0773348869999997,5.007206998,13.422,2.0316,True,F,0.533949676,False,9079,1,UE,mens
7,1,B,34.58567177,1.234043937,3.083444775,1.22227892,False,True,2.6185197419999997,14.1286,2.6224,14.0394,0.0054,34.15489353,0.197445017,1.6469879680000001,5.729710497999999,12.2528,1.1038,False,F,0.40977437899999997,True,2598,1,UE,mens
3,1,F,34.44574154,0.387827529,0.8732018309999999,1.9926889209999998,False,False,1.925742454,11.3576,2.465,11.4776,0.5429999999999999,34.61307588,0.22780188699999998,2.162768951,5.043818956,12.4838,4.5872,False,F,0.41979417399999996,True,7945,1,W,mens
11,2,F,21.83017176,0.541134558,0.494508176,0.346735346,False,True,3.074409478,6.649,0.9376,8.889,1.1682,32.49363487,0.490669827,2.218269216,5.7386774879999995,15.8012,2.8932,False,V,0.5821233720000001,True,231,1,UE,mens
20,1,F,45.37917231,0.265429822,1.307052938,5.119994125,False,False,4.8425179730000005,8.5002,1.3718,13.3046,0.7654,18.34311859,4.346790638,3.3977219589999996,4.251290145,13.7284,1.6916,True,F,1.225011081,False,327,1,W,mens
9,1,F,33.44386599,2.632042105,0.61630902,4.149696577,True,True,4.015533448999999,16.6772,2.8474,15.5234,0.9988,35.64824406,0.414880529,0.589479911,2.325037328,10.3184,2.8280000000000003,False,F,0.31251411,True,7770,1,FE,mens
9,2,B,38.16569869,0.25728657,0.925475136,2.9248656060000005,True,False,1.705334278,13.1814,3.0902,13.2626,1.3868,33.39464694,0.22829937100000003,1.787083212,6.939305332999999,15.1124,3.3652,False,F,0.5597425429999999,True,832,1,UE,mens
6,2,F,34.75203111,1.8762845209999999,3.392769252,2.432075114,False,True,1.948458365,16.0638,3.6182,15.0704,1.942,37.12666152,1.077967114,0.988987774,2.065229016,14.2862,1.6954,False,F,0.465237825,False,336,1,UE,mens
